,name,pokedex_number,abilities,types,classification,generation,Body_Style,Color
6,Squirtle,7,Torrent,water,Tiny Turtle Pokémon,1,bipedal_tailed,Blue
7,Wartortle,8,Torrent,water,Turtle Pokémon,1,bipedal_tailed,Blue
8,Blastoise,9,Torrent,water,Shellfish Pokémon,1,bipedal_tailed,Blue
18,Rattata,19,Thick Fat,normal,Mouse Pokémon,1,quadruped,Purple
19,Raticate,20,Thick Fat,normal,Mouse Pokémon,1,quadruped,Brown
22,Ekans,23,Unnerve,poison,Snake Pokémon,1,serpentine_body,Purple
23,Arbok,24,Unnerve,poison,Cobra Pokémon,1,serpentine_body,Purple
47,Venonat,48,Tinted Lens,poison,Insect Pokémon,1,bipedal_tailless,Purple
48,Venomoth,49,Tinted Lens,poison,Poison Moth Pokémon,1,four_wings,Purple
48,Venomoth,49,Wonder Skin ,poison,Poison Moth Pokémon,1,four_wings,Purple
51,Meowth,52,Technician,normal,Scratch Cat Pokémon,1,quadruped,Yellow
51,Meowth,52,Unnerve,normal,Scratch Cat Pokémon,1,quadruped,Yellow
52,Persian,53,Technician,normal,Classy Cat Pokémon,1,quadruped,Yellow
52,Persian,53,Unnerve,normal,Classy Cat Pokémon,1,quadruped,Yellow
59,Poliwag,60,Water Absorb,water,Tadpole Pokémon,1,head_legs,Blue
60,Poliwhirl,61,Water Absorb,water,Tadpole Pokémon,1,bipedal_tailless,Blue
61,Poliwrath,62,Water Absorb,water,Tadpole Pokémon,1,bipedal_tailless,Blue
85,Seel,86,Thick Fat,water,Sea Lion Pokémon,1,with_fins,White
86,Dewgong,87,Thick Fat,water,Sea Lion Pokémon,1,with_fins,White
86,Dewgong,87,Thick Fat,ice,Sea Lion Pokémon,1,with_fins,White
94,Onix,95,Weak Armor,rock,Rock Snake Pokémon,1,serpentine_body,Grey
94,Onix,95,Weak Armor,ground,Rock Snake Pokémon,1,serpentine_body,Grey
117,Goldeen,118,Water Veil,water,Goldfish Pokémon,1,with_fins,Red
118,Seaking,119,Water Veil,water,Goldfish Pokémon,1,with_fins,Red
121,Mr. Mime,122,Technician,psychic,Barrier Pokémon,1,bipedal_tailless,Pink
130,Lapras,131,Water Absorb,water,Transport Pokémon,1,with_fins,Blue
130,Lapras,131,Water Absorb,ice,Transport Pokémon,1,with_fins,Blue
133,Vaporeon,134,Water Absorb,water,Bubble Jet Pokémon,1,quadruped,Blue
136,Porygon,137,Trace,normal,Virtual Pokémon,1,head_legs,Pink
137,Omanyte,138,Weak Armor,rock,Spiral Pokémon,1,several_limbs,Blue
137,Omanyte,138,Weak Armor,water,Spiral Pokémon,1,several_limbs,Blue
138,Omastar,139,Weak Armor,rock,Spiral Pokémon,1,several_limbs,Blue
138,Omastar,139,Weak Armor,water,Spiral Pokémon,1,several_limbs,Blue
139,Kabuto,140,Weak Armor,rock,Shellfish Pokémon,1,insectoid,Brown
139,Kabuto,140,Weak Armor,water,Shellfish Pokémon,1,insectoid,Brown
140,Kabutops,141,Weak Armor,rock,Shellfish Pokémon,1,bipedal_tailed,Brown
140,Kabutops,141,Weak Armor,water,Shellfish Pokémon,1,bipedal_tailed,Brown
141,Aerodactyl,142,Unnerve,rock,Fossil Pokémon,1,two_wings,Purple
142,Snorlax,143,Thick Fat,normal,Sleeping Pokémon,1,bipedal_tailless,Black
149,Mewtwo,150,Unnerve,psychic,Genetic Pokémon,1,bipedal_tailed,Purple
157,Totodile,158,Torrent,water,Big Jaw Pokémon,2,bipedal_tailed,Blue
158,Croconaw,159,Torrent,water,Big Jaw Pokémon,2,bipedal_tailed,Blue
159,Feraligatr,160,Torrent,water,Big Jaw Pokémon,2,bipedal_tailed,Blue
